"Speaker Name","Start Time","End Time","Text"
"Speaker 1","00:00:00:00","00:00:02:15","The deadline's coming up sooner than I expected."
"Speaker 2","00:00:02:17","00:00:04:05","Looks like the meeting's running late."
"Speaker 3","00:00:04:09","00:00:06:18","Would you remind me to call my sister later?"
"Speaker 4","00:00:06:22","00:00:10:12","Could you water my plants while I'm away? Did you find your wallet?"
"Speaker 5","00:00:10:14","00:00:12:09","Have you told your parents about the trip?"
"Speaker 6","00:00:12:11","00:00:14:05","I forgot to reply to her message."
"Speaker 2","00:00:14:06","00:00:16:09","Where did you put the extra copies of the report?"
"Speaker 1","00:00:16:09","00:00:19:15","Who approved the new advertising budget."
"Speaker 2","00:00:19:17","00:00:21:01","I can't make it to the meeting tomorrow."
"Speaker 3","00:00:21:02","00:00:23:10","The hallway lights aren't working again."
"Speaker 1","00:00:23:10","00:00:28:00","The laundry baskets overflowing again. Didn't you say you do it yesterday?"
"Speaker 2","00:00:28:02","00:00:31:22","I did, but I ran out of detergent halfway through the first load."
"Speaker 1","00:00:32:03","00:00:36:02","You could have told me. I passed the store on my way home."
"Speaker 2","00:00:36:04","00:00:44:01","I figured I'd go this morning, but then I got caught up finishing that report for work. I'll grab some detergent after lunch and do a double load this afternoon."
"Speaker 1","00:00:44:04","00:00:47:16","Please do. Otherwise, we'll have nothing to wear tomorrow."
"Speaker 1","00:00:47:16","00:00:51:00","My phone keeps dying just a few hours after it's fully charged."
"Speaker 2","00:00:51:02","00:00:55:10","You probably need a new battery. How long have you had it?"
"Speaker 1","00:00:55:12","00:01:06:04","Almost four years. It used to last all day, but now I charge it twice before dinner. I read online that once a battery starts losing power, it can even damage the phone. If you ignore it for too long."
"Speaker 2","00:01:06:06","00:01:11:05","Then you'd better replace it soon. There's a repair shop near the library that does same day service."
"Speaker 1","00:01:11:11","00:01:14:20","Oh, I didn't know that. I'll head over there after work."
"Speaker 1","00:01:14:20","00:01:17:23","The shipment of office supplies still hasn't arrived."
"Speaker 2","00:01:17:24","00:01:22:18","Seriously? It's been almost a week since we placed that order."
"Speaker 1","00:01:22:19","00:01:29:07","I called the supplier this morning, and they said the delivery truck broke down outside the city. They're sending another one tomorrow."
"Speaker 2","00:01:29:08","00:01:33:21","That explains it. I'll let the team know to go easy on the printing until then."
"Speaker 1","00:01:33:21","00:01:37:18","I cancel my gym membership last month and now I regret it."
"Speaker 2","00:01:37:20","00:01:38:22","What happened?"
"Speaker 1","00:01:38:24","00:01:43:19","I thought I'd save money and just workout at home, but I haven't exercised once since then."
"Speaker 2","00:01:43:24","00:01:49:12","You could always rejoin. Sometimes they let you skip the sign up fee if you were a recent member."
"Speaker 1","00:01:49:17","00:01:52:09","That's good to know. I'll stop by this weekend and ask."
"Speaker 2","00:01:52:13","00:01:56:22","Do it. It's easier to stay motivated when you go somewhere to train."
"Speaker 1","00:01:56:22","00:02:20:08","Listen to an announcement at a university event. Good morning students. The Academic Advising Office will offer extended walk in hours next week for anyone planning to register for summer courses. Advisers will be available from 9 a.m. to 4 p.m. Monday through Thursday. No appointment is necessary, but please arrive early to avoid long wait times."
